Title,Discreption,price,,,,
Address:,"Madapatha road, Kolamunna, Piliyandala",Land type:,"Residential, Other",Land size:,10.0 perches,"Rs 750,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.8 perches,"Rs 831,325 per perch",,
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Piliyandala Kottawa Road 296,Land type:,Residential,Land size:,14.0 perches,"Rs 800,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,18.2 perches,"Rs 600,000 per perch"
Address:,piliyandala,Land type:,Residential,Land size:,6.5 perches,"Rs 800,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Makandena,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,"පිළියන්දල ,කැස්බෑව ,",Land type:,Residential,Land size:,8.0 perches,"Rs 800,000 per perch"
Address:,පිලියන්දල කැස්බෑව,Land type:,Residential,Land size:,7.0 perches,"Rs 900,000 per perch"
Address:,piliyandala madapath,Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 800,000 per perch"
Address:,kesbawa piliyandala,Land type:,"Commercial, Residential",Land size:,6.8 perches,"Rs 800,000 per perch"
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Address:,Piliyandala kesbewa,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,"Bokundara Road, Makuluduwa,Piliyandala",Land type:,"Commercial, Residential",Land size:,32.0 perches,"Rs 1,050,000 per perch"
Address:,"piliyandala, kotagedara",Land type:,"Commercial, Residential",Land size:,17.5 perches,"Rs 10,200,000 total price"
Address:,"kahathuduwa ,diyakada",Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 1,900,000 total price"
Address:,piliyandala kasbawa,Land type:,Residential,Land size:,7.5 perches,"Rs 900,000 per perch"
Address:,piliyandala,Land type:,"Commercial, Residential",Land size:,7.5 perches,"Rs 780,000 per perch"
Address:,පිලියන්දල,Land type:,"Commercial, Residential",Land size:,6.4 perches,"Rs 790,000 per perch"
Address:,Makandana,Land type:,"Commercial, Residential",Land size:,7.0 perches,"Rs 795,000 per perch"
Address:,piliyandala,Land type:,"Commercial, Residential, Other",Land size:,10.0 perches,"Rs 220,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 838,878 per perch",,
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,madapath piliyandala,Land type:,"Commercial, Residential",Land size:,6.8 perches,"Rs 800,000 per perch"
Address:,piliyandala,Land type:,Residential,Land size:,6.5 perches,"Rs 850,000 per perch"
Address:,Makandena,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Piliyandala madapath,Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 800,000 per perch"
Address:,piliyandala,Land type:,Residential,Land size:,7.0 perches,"Rs 780,000 per perch"
Address:,"මිහින්තලේ පාර, සාලිය මාවත, අනුරාධපුර",Land type:,Residential,Land size:,10.0 perches,"Rs 1,800,000 total price"
Address:,Kahathuduwa,Land type:,Residential,Land size:,7.0 perches,"Rs 390,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,kesbawa,Land type:,Residential,Land size:,6.8 perches,"Rs 800,000 per perch"
Address:,piliyandala,Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 800,000 per perch"
Address:,මඩපාත පාර පිලියන්දල,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.8 perches,"Rs 5,575,660 total price",,
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Address:,පිළියන්දල,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,මාකන්දන,Land type:,"Commercial, Residential",Land size:,6.3 perches,"Rs 775,000 per perch"
Address:,piliyandala town,Land type:,Residential,Land size:,10.2 perches,"Rs 880,000 per perch"
